service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
131.0.1,1,1,1,1,1,0,0,20230108,20230429
131.0.2,0,0,0,0,0,1,0,20230108,20230429
131.0.3,0,0,0,0,0,0,1,20230108,20230429
131.0.74,0,0,0,0,0,0,0,20230108,20230429
131.0.75,0,0,0,0,0,0,0,20230108,20230429
131.0.76,0,0,0,0,0,0,0,20230108,20230429
131.0.80,0,0,0,0,0,0,0,20230108,20230429
131.0.81,0,0,0,0,0,0,0,20230108,20230429
131.0.82,0,0,0,0,0,0,0,20230108,20230429
