route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,YRT,1,HIGHWAY 7,,3,,496E6E,FFFFFF
2,YRT,2,MILLIKEN,,3,,C4A006,FFFFFF
3,YRT,3,THORNHILL,,3,,A54686,FFFFFF
4,YRT,4,MAJOR MACKENZIE,,3,,0058A9,FFFFFF
5,YRT,5,CLARK,,3,,496E6E,FFFFFF
7,YRT,7,MARTIN GROVE,,3,,0058A9,FFFFFF
8,YRT,8,KENNEDY,,3,,2A2A86,FFFFFF
9,YRT,9,9TH LINE,,3,,F58220,FFFFFF
10,YRT,10,WOODBRIDGE,,3,,66A6BC,FFFFFF
12,YRT,12,PINE VALLEY,,3,,6DC069,FFFFFF
13,YRT,13,ISLINGTON,,3,,A17D7D,FFFFFF
14,YRT,14,14TH AVENUE,,3,,66A6BC,FFFFFF
16,YRT,16,16TH AVENUE,,3,,4B6CB4,FFFFFF
18,YRT,18,BUR OAK,,3,,6DC069,FFFFFF
20,YRT,20,JANE,,3,,806A50,FFFFFF
21,YRT,21,VELLORE LOCAL,,3,,00838B,FFFFFF
23,YRT,23,THORNHILL WOODS,,3,,F58220,FFFFFF
24,YRT,24,WOODBINE AVENUE,,3,,00AEEF,FFFFFF
25,YRT,25,MAJOR MACKENZIE,,3,,BD5B5E,FFFFFF
26,YRT,26,MAPLE,,3,,3EC7F4,FFFFFF
31,YRT,31,AURORA NORTH,,3,,C4A006,FFFFFF
32,YRT,32,AURORA SOUTH,,3,,0058A9,FFFFFF
33,YRT,33,WELLINGTON,,3,,00B5CC,FFFFFF
3301,YRT,033A,WELLINGTON,,3,,00B5CC,FFFFFF
40,YRT,40,UNIONVILLE LOCAL,,3,,806A50,FFFFFF
42,YRT,42,BERCZY,,3,,00BCE4,FFFFFF
44,YRT,44,BRISTOL,,3,,66A6BC,FFFFFF
45,YRT,45,MINGAY,,3,,E977AF,FFFFFF
50,YRT,50,QUEENSWAY,,3,,684287,FFFFFF
51,YRT,51,KESWICK LOCAL,,3,,DC62A5,FFFFFF
52,YRT,52,HOLLAND LANDING,,3,,A54686,FFFFFF
54,YRT,54,BAYVIEW,,3,,806A50,FFFFFF
55,YRT,55,DAVIS DRIVE,,3,,0058A9,FFFFFF
56,YRT,56,GORHAM - EAGLE,,3,,FBB034,111111
57,YRT,57,MULOCK,,3,,00AEEF,FFFFFF
5701,YRT,057A,MULOCK,,3,,00AEEF,FFFFFF
58,YRT,58,MOUNT ALBERT,,3,,8FB73E,FFFFFF
77,YRT,77,HIGHWAY 7,,3,,00AEEF,FFFFFF
80,YRT,80,ELGIN MILLS,,3,,F37053,FFFFFF
81,YRT,81,INSPIRATION,,3,,806A50,FFFFFF
82,YRT,82,VALLEYMEDE,,3,,0095DA,FFFFFF
83,YRT,83,TRENCH,,3,,72BF44,FFFFFF
8301,YRT,083A,TRENCH,,3,,72BF44,FFFFFF
84,YRT,84,OAK RIDGES,,3,,DC62A5,FFFFFF
85,YRT,85,RUTHERFORD,,3,,A3238E,FFFFFF
86,YRT,86,NEWKIRK - RED MAPLE,,3,,B72055,FFFFFF
87,YRT,87,AUTUMN HILL,,3,,C4A006,FFFFFF
88,YRT,88,BATHURST,,3,,00A88E,FFFFFF
90,YRT,90,LESLIE,,3,,F58220,FFFFFF
9002,YRT,090B,LESLIE,,3,,F58220,FFFFFF
91,YRT,91,BAYVIEW,,3,,A37C53,FFFFFF
9101,YRT,091A,BAYVIEW,,3,,A37C53,FFFFFF
9102,YRT,091B,BAYVIEW,,3,,A37C53,FFFFFF
9105,YRT,091E,BAYVIEW EXPRESS,,3,,A37C53,FFFFFF
96,YRT,96,KEELE - YONGE,,3,,496E6E,FFFFFF
98,YRT,98,YONGE,,3,,007647,FFFFFF
9805,YRT,098E,YONGE LIMITED EXPRESS,,3,,007647,FFFFFF
9899,YRT,098|099,YONGE,,3,,007647,FFFFFF
99,YRT,99,YONGE,,3,,684287,FFFFFF
105,YRT,105,DUFFERIN,,3,,6DC069,FFFFFF
107,YRT,107,KEELE,,3,,00B547,FFFFFF
10702,YRT,107B,KEELE,,3,,00B547,FFFFFF
165,YRT,165,WESTON,,3,,C4A006,FFFFFF
16506,YRT,165F,WESTON,,3,,C4A006,FFFFFF
201,YRT,201,MARKHAM GO SHUTTLE,,3,,8DC63F,FFFFFF
202,YRT,202,UNIONVILLE GO SHUTTLE,,3,,8DC63F,FFFFFF
203,YRT,203,MILLIKEN GO SHUTTLE,,3,,5D9732,FFFFFF
204,YRT,204,BERCZY GO SHUTTLE,,3,,007647,FFFFFF
222,YRT,222,AURORA-NEWMARKET GO SHUTTLE,,3,,00A88D,FFFFFF
240,YRT,240,MILL POND GO SHUTTLE,,3,,71BF43,FFFFFF
241,YRT,241,BEVERLY ACRES GO SHUTTLE,,3,,00A88D,FFFFFF
243,YRT,243,REDSTONE GO SHUTTLE,,3,,C1D82F,111111
300,YRT,300,BUSINESS EXPRESS,,3,,8B0030,FFFFFF
