stop_id,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5474,5474,KINGSHILL RD / ROWLEY ST,,,43.931873,-79.476921,1,,0,,,1
5475,5475,KINGSHILL RD / HOLTBY ST,,,43.932449,-79.474139,1,,0,,,2
5653,5653,KINGSHILL RD / NEWBRIDGE AV,,,43.937589,-79.473005,1,,0,,,1
5697,5697,WOODSPRING AV / WILLIAM BOOTH AV,,,44.058153,-79.493721,1,,0,,,2
5700,5700,WOODSPRING AV / ASPENWOOD DR,,,44.065905,-79.493228,1,,0,,,1
6018,6018,BLOOMINGTON AV / BAYVIEW AV,,,43.967767,-79.435559,1,,0,,,1
6188,6188,KING RD / PARKER AV,,,43.942508,-79.464255,1,,0,,,2
6622,6622,VELLORE AV / MARIA ANTONIA RD,,,43.838877,-79.570187,1,,0,,,2
6651,6651,AUTUMN HILL BLVD / BATHURST ST,,,43.836834,-79.457447,1,,0,,,1
6654,6654,MAJOR MACKENZIE DR / WOODBINE AV,,,43.885802,-79.36836,1,,0,,,1
6658,6658,ROYALPARK WAY STOP # 6658,464 ROYALPARK WAY,,43.800123,-79.614801,1,,0,,,2
6670,6670,VAUGHAN MILLS RD STOP # 6670,,,43.799723,-79.610591,1,,0,,,1
6633,6633,SPRINGHEAD GDNS / RATHFON CRES,,,43.855631,-79.438977,1,,0,,,1
6743,6743,AUTUMN HILL BLVD / CHOPIN BLVD,,,43.835956,-79.465879,1,,0,,,1
6744,6744,AUTUMN HILL BLVD / CHOPIN BLVD,,,43.836018,-79.466166,1,,0,,,2
6430,6430,HIGH ST / DALTON RD,,,44.304667,-79.362281,1,,0,,,2
6567,6567,RAVINEVIEW DR / VISTA GATE,,,43.890323,-79.51833,1,,0,,,1
6568,6568,RAVINEVIEW DR / VISTA GATE,,,43.889888,-79.518155,1,,0,,,1
6569,6569,RAVINEVIEW DR / CANYON GATE CRES,RAVINEVIEW DR & PARK POINT BLVD,,43.888452,-79.517802,1,,0,,,1
6570,6570,RAVINEVIEW DR / CANYON GATE CRES,,,43.887683,-79.517301,1,,0,,,1
6571,6571,PEAK POINT BLVD / KEELE ST,,,43.887018,-79.518877,1,,0,,,1
6572,6572,WILLIAM FORSTER RD / RUSTLE WOODS A,WILLIAM FORSTER RD & RUSTLE WOODS AV,,43.884107,-79.220874,1,,0,,,2
6573,6573,RUSTLE WOODS AV / WILLIAM FORSTER R,RUSTLE WOODS AV & WILLIAM FORSTER RD,,43.884324,-79.22073,1,,0,,,2
6574,6574,BUR OAK AV / CHURCH ST,,,43.885818,-79.229334,1,,0,,,1
6575,6575,BUR OAK AV STOP # 6575,,,43.884952,-79.229063,1,,0,,,1
6445,6445,METRO RD STOP # 6445,,,44.31785,-79.388111,1,,0,,,2
6577,6577,HOLLANDVIEW TRL / MCMASTER AV,,,44.014549,-79.450209,1,,0,,,1
6578,6578,GATEWAY DR / ST. JOHN'S SDRD,,,44.02119,-79.45659,1,,0,,,1
6580,6580,ST. JOHN'S SDRD / MAVRINAC BLVD,,,44.024455,-79.443575,1,,0,,,1
6581,6581,MAVRINAC BLVD / LEWIS HONEY DR,,,44.023146,-79.442719,1,,0,,,1
6582,6582,MAVRINAC BLVD / HARTWELL WAY,,,44.020662,-79.440675,1,,0,,,1
6452,6452,METRO RD / RAINES ST,,,44.272,-79.497779,1,,0,,,2
6584,6584,MAVRINAC BLVD / SPRING FARM RD,,,44.017375,-79.439434,1,,0,,,1
6587,6587,MAVRINAC BLVD / GUNDY WAY,,,44.011674,-79.435642,1,,0,,,1
6588,6588,MAVRINAC BLVD / HALLDORSON AV,,,44.009569,-79.434586,1,,0,,,1
6595,6595,NINTH LINE / BERCZY GATE,,,43.878138,-79.234766,1,,0,,,2
6594,6594,BUR OAK AV STOP # 6594,,,43.884372,-79.227727,1,,0,,,2
6596,6596,LESLIE ST / ELGIN MILLS RD,,,43.898378,-79.395602,1,,0,,,1
6597,6597,ELGIN MILLS RD / WOODBINE AV,,,43.902493,-79.378282,1,,0,,,2
6598,6598,VICTORIA SQUARE BLVD / BETTY ROMAN,VICTORIA SQUARE BLVD & BETTY ROMAN BLVD,,43.896923,-79.370063,1,,0,,,2
6599,6599,BETTY ROMAN BLVD / PRINCE REGENT ST,,,43.896763,-79.372906,1,,0,,,2
6600,6600,BETTY ROMAN BLVD / REFLECTION RD,,,43.896521,-79.376814,1,,0,,,2
6601,6601,BETTY ROMAN BLVD / WOODBINE AV,,,43.896866,-79.378459,1,,0,,,1
6602,6602,WOODBINE AV STOP # 6602,,,43.899746,-79.377247,1,,0,,,1
6603,6603,WOODBINE AV / ELGIN MILLS RD,,,43.901278,-79.377272,1,,0,,,1
6473,6473,METRO RD / FIRST AV,,,44.251559,-79.485874,1,,0,,,2
6605,6605,MAJOR MACKENZIE DR / COLBORNE AV,,,43.875363,-79.418196,1,,0,,,1
6619,6619,MAJOR MACKENZIE DR / WESTON RD,,,43.845018,-79.560167,1,,0,,,2
6639,6639,HIGHWAY 7 / EAST BEAVER CREEK,,,43.845621,-79.377773,1,,0,,,1
6640,6640,HIGHWAY 7 / WEST BEAVER CREEK RD,,,43.84379,-79.386052,1,,0,,,1
6657,6657,HIGHWAY 7 / WILLIAM FORSTER RD,,,43.881477,-79.219479,1,,0,,,2
6642,6642,MELVILLE AV / RUTHERFORD RD,,,43.83453,-79.522426,1,,0,,,1
6634,6634,HIGHWAY 7 / LESLIE ST,,,43.84415,-79.382711,1,,0,,,1
6635,6635,HIGHWAY 7 / LESLIE ST,,,43.844696,-79.382009,1,,0,,,1
6638,6638,HIGHWAY 7 / COMMERCE VALLEY DR EAST,,,43.845217,-79.37832,1,,0,,,1
6636,6636,HIGHWAY 7 / TIMES AV,,,43.841994,-79.392058,1,,0,,,1
6641,6641,HIGHWAY 7 / VALLEYMEDE DR,,,43.842433,-79.39149,1,,0,,,1
6660,6660,ROYALPARK WAY / HIGHWAY 27,,,43.806424,-79.628443,1,,0,,,2
6661,6661,ROYALPARK WAY / HIGHWAY 27,,,43.806354,-79.628488,1,,0,,,1
6692,6692,BOX GROVE BYPASS / 14TH AV,,,43.861015,-79.224469,1,,0,,,1
6650,6650,AUTUMN HILL BLVD / BATHURST GLEN DR,,,43.836336,-79.462367,1,,0,,,1
6652,6652,NINTH LINE / CHURCH ST,,,43.883962,-79.235961,1,,0,,,1
6653,6653,KENNEDY RD / STEELES AV,,,43.82435,-79.307529,1,,0,,,2
6655,6655,CONOVER AV / HARTWELL WAY,,,44.019378,-79.444529,1,,0,,,2
6656,6656,HIGHWAY 7 / WILLIAM FORSTER RD,,,43.881139,-79.219995,1,,0,,,1
6662,6662,ROYALPARK WAY / SUNDANCE CRT,,,43.803775,-79.626291,1,,0,,,2
6664,6664,ROYALPARK WAY STOP # 6664,561 ROYALPARK WAY,,43.800138,-79.61513,1,,0,,,2
6483,6483,DALTON RD STOP # 6483,,,44.313486,-79.366529,1,,0,,,2
6668,6668,LEGACY DR / COTTONTAIL AV,,,43.85993,-79.231887,1,,0,,,2
6669,6669,LEGACY DR / COTTONTAIL AV,,,43.859921,-79.232184,1,,0,,,1
6671,6671,ROYALPARK WAY / PANORAMA CRES,,,43.802006,-79.618989,1,,0,,,2
6676,6676,14TH AV / VETTISE AV,,,43.86212,-79.218586,1,,0,,,2
6677,6677,COPPER CREEK DR / BERNBRIDGE RD,,,43.869092,-79.212785,1,,0,,,1
6678,6678,COPPER CREEK DR / BOX GROVE BY PASS,,,43.865536,-79.229206,1,,0,,,1
6681,6681,LEBOVIC CAMPUS DR / GESHER CRES,,,43.854702,-79.462001,1,,0,,,1
6682,6682,BATHURST ST STOP # 6682,,,43.928001,-79.478508,1,,0,,,2
6683,6683,PUGSLEY ST / CENTRE ST,,,43.877247,-79.432612,1,,0,,,1
6684,6684,LAKELAND CRES / NORTH LAKE RD,,,43.948173,-79.448765,1,,0,,,2
6688,6688,BOX GROVE BYPASS STOP # 6688,BOX GROVE BYPASS & GERMAINE CRES,,43.85949,-79.223915,1,,0,,,2
6693,6693,ILAN RAMON BLVD / GEORGE KIRBY ST,,,43.84998,-79.463049,1,,0,,,1
6694,6694,ILAN RAMON BLVD / MARC SANTI BLVD,,,43.85164,-79.463649,1,,0,,,1
6695,6695,ILAN RAMON BLVD / RUTHERFORD RD,,,43.848124,-79.462336,1,,0,,,1
6696,6696,JANE ST STOP # 6696,,,43.83299,-79.53296,1,,0,,,1
6715,6715,MILLARD ST / WINLANE DR,,,43.972838,-79.26731,1,,0,,,1
6731,6731,RICHMOND GREEN H.S. STOP # 6731,1 WILLIAM F. BELL PKWAY,,43.903114,-79.399159,1,,0,,,2
6621,6621,VELLORE AV / MEDITERRA DR,,,43.840566,-79.570925,1,,0,,,1
6498,6498,WOODSPRING AV / GREEN LN W,WOODSPRING AVE & GREEN LANE W,,44.06982,-79.493859,1,,0,,,2
6713,6713,MILLARD ST / BAKER HILL BLVD,,,43.96972,-79.276455,1,,0,,,1
6714,6714,MILLARD ST / LANGEN GATE,,,43.971009,-79.271618,1,,0,,,1
