fare_id,price,currency_type,payment_method,transfers
84-91,25.10,CAD,1,
90-84,25.65,CAD,1,
84-90,25.65,CAD,1,
89-84,25.65,CAD,1,
84-89,25.65,CAD,1,
88-84,28.70,CAD,1,
84-88,28.70,CAD,1,
87-84,27.20,CAD,1,
84-87,27.20,CAD,1,
86-84,26.45,CAD,1,
84-86,26.45,CAD,1,
85-84,19.50,CAD,1,
84-85,19.50,CAD,1,
84-84,4.40,CAD,1,
98-83,23.40,CAD,1,
83-98,23.40,CAD,1,
97-83,27.20,CAD,1,
83-97,27.20,CAD,1,
96-83,26.35,CAD,1,
83-96,26.35,CAD,1,
95-83,25.75,CAD,1,
83-95,25.75,CAD,1,
94-83,25.15,CAD,1,
83-94,25.15,CAD,1,
93-83,24.45,CAD,1,
83-93,24.45,CAD,1,
92-83,23.65,CAD,1,
83-92,23.65,CAD,1,
91-83,22.90,CAD,1,
83-91,22.90,CAD,1,
90-83,23.55,CAD,1,
83-90,23.55,CAD,1,
89-83,23.55,CAD,1,
83-89,23.55,CAD,1,
88-83,26.55,CAD,1,
83-88,26.55,CAD,1,
87-83,25.05,CAD,1,
83-87,25.05,CAD,1,
86-83,24.30,CAD,1,
83-86,24.30,CAD,1,
85-83,17.30,CAD,1,
83-85,17.30,CAD,1,
84-83,6.30,CAD,1,
83-84,6.30,CAD,1,
83-83,4.40,CAD,1,
98-82,20.90,CAD,1,
82-98,20.90,CAD,1,
97-82,24.75,CAD,1,
82-97,24.75,CAD,1,
96-82,23.90,CAD,1,
82-96,23.90,CAD,1,
95-82,23.35,CAD,1,
82-95,23.35,CAD,1,
94-82,22.70,CAD,1,
82-94,22.70,CAD,1,
93-82,22.05,CAD,1,
82-93,22.05,CAD,1,
92-82,21.20,CAD,1,
82-92,21.20,CAD,1,
91-82,20.45,CAD,1,
82-91,20.45,CAD,1,
90-82,21.05,CAD,1,
82-90,21.05,CAD,1,
89-82,21.05,CAD,1,
82-89,21.05,CAD,1,
88-82,24.15,CAD,1,
82-88,24.15,CAD,1,
87-82,22.55,CAD,1,
82-87,22.55,CAD,1,
86-82,21.85,CAD,1,
82-86,21.85,CAD,1,
85-82,14.40,CAD,1,
82-85,14.40,CAD,1,
84-82,9.70,CAD,1,
82-84,9.70,CAD,1,
83-82,7.15,CAD,1,
82-83,7.15,CAD,1,
82-82,4.40,CAD,1,
98-81,20.20,CAD,1,
81-98,20.20,CAD,1,
97-81,24.00,CAD,1,
81-97,24.00,CAD,1,
96-81,23.05,CAD,1,
81-96,23.05,CAD,1,
95-81,22.55,CAD,1,
81-95,22.55,CAD,1,
94-81,22.05,CAD,1,
81-94,22.05,CAD,1,
93-81,21.25,CAD,1,
81-93,21.25,CAD,1,
92-81,20.40,CAD,1,
81-92,20.40,CAD,1,
91-81,19.75,CAD,1,
81-91,19.75,CAD,1,
90-81,20.30,CAD,1,
81-90,20.30,CAD,1,
89-81,20.30,CAD,1,
81-89,20.30,CAD,1,
88-81,23.35,CAD,1,
81-88,23.35,CAD,1,
87-81,21.80,CAD,1,
81-87,21.80,CAD,1,
86-81,21.05,CAD,1,
81-86,21.05,CAD,1,
85-81,13.60,CAD,1,
81-85,13.60,CAD,1,
84-81,11.20,CAD,1,
81-84,11.20,CAD,1,
83-81,8.15,CAD,1,
81-83,8.15,CAD,1,
82-81,4.40,CAD,1,
81-82,4.40,CAD,1,
81-81,4.40,CAD,1,
98-80,18.80,CAD,1,
80-98,18.80,CAD,1,
97-80,22.75,CAD,1,
80-97,22.75,CAD,1,
96-80,21.75,CAD,1,
80-96,21.75,CAD,1,
95-80,21.20,CAD,1,
80-95,21.20,CAD,1,
94-80,20.60,CAD,1,
80-94,20.60,CAD,1,
93-80,19.85,CAD,1,
80-93,19.85,CAD,1,
92-80,19.00,CAD,1,
80-92,19.00,CAD,1,
91-80,18.35,CAD,1,
80-91,18.35,CAD,1,
90-80,18.20,CAD,1,
80-90,18.20,CAD,1,
89-80,18.15,CAD,1,
80-89,18.15,CAD,1,
88-80,21.25,CAD,1,
80-88,21.25,CAD,1,
87-80,19.65,CAD,1,
80-87,19.65,CAD,1,
86-80,18.95,CAD,1,
80-86,18.95,CAD,1,
85-80,10.80,CAD,1,
80-85,10.80,CAD,1,
84-80,13.35,CAD,1,
80-84,13.35,CAD,1,
83-80,11.20,CAD,1,
80-83,11.20,CAD,1,
82-80,7.70,CAD,1,
80-82,7.70,CAD,1,
81-80,6.30,CAD,1,
80-81,6.30,CAD,1,
80-80,4.40,CAD,1,
98-79,11.90,CAD,1,
79-98,11.90,CAD,1,
97-79,15.85,CAD,1,
79-97,15.85,CAD,1,
96-79,15.05,CAD,1,
79-96,15.05,CAD,1,
95-79,14.50,CAD,1,
79-95,14.50,CAD,1,
94-79,13.80,CAD,1,
79-94,13.80,CAD,1,
93-79,13.15,CAD,1,
79-93,13.15,CAD,1,
92-79,12.35,CAD,1,
79-92,12.35,CAD,1,
91-79,11.60,CAD,1,
79-91,11.60,CAD,1,
90-79,13.55,CAD,1,
79-90,13.55,CAD,1,
89-79,13.65,CAD,1,
79-89,13.65,CAD,1,
88-79,14.70,CAD,1,
79-88,14.70,CAD,1,
87-79,15.80,CAD,1,
79-87,15.80,CAD,1,
86-79,14.65,CAD,1,
79-86,14.65,CAD,1,
85-79,17.00,CAD,1,
79-85,17.00,CAD,1,
84-79,20.20,CAD,1,
79-84,20.20,CAD,1,
83-79,18.00,CAD,1,
79-83,18.00,CAD,1,
82-79,15.55,CAD,1,
79-82,15.55,CAD,1,
81-79,14.80,CAD,1,
79-81,14.80,CAD,1,
80-79,12.65,CAD,1,
79-80,12.65,CAD,1,
79-79,4.40,CAD,1,
98-78,4.40,CAD,1,
78-98,4.40,CAD,1,
97-78,17.50,CAD,1,
78-97,17.50,CAD,1,
96-78,16.50,CAD,1,
78-96,16.50,CAD,1,
95-78,15.95,CAD,1,
78-95,15.95,CAD,1,
94-78,15.35,CAD,1,
78-94,15.35,CAD,1,
93-78,14.60,CAD,1,
78-93,14.60,CAD,1,
92-78,13.75,CAD,1,
78-92,13.75,CAD,1,
91-78,13.15,CAD,1,
78-91,13.15,CAD,1,
90-78,10.45,CAD,1,
78-90,10.45,CAD,1,
89-78,10.40,CAD,1,
78-89,10.40,CAD,1,
88-78,13.75,CAD,1,
78-88,13.75,CAD,1,
87-78,12.30,CAD,1,
78-87,12.30,CAD,1,
86-78,11.50,CAD,1,
78-86,11.50,CAD,1,
85-78,22.75,CAD,1,
78-85,22.75,CAD,1,
84-78,25.15,CAD,1,
78-84,25.15,CAD,1,
83-78,23.05,CAD,1,
78-83,23.05,CAD,1,
82-78,20.55,CAD,1,
78-82,20.55,CAD,1,
81-78,19.85,CAD,1,
78-81,19.85,CAD,1,
80-78,18.45,CAD,1,
78-80,18.45,CAD,1,
79-78,10.40,CAD,1,
78-79,10.40,CAD,1,
78-78,4.40,CAD,1,
98-77,12.90,CAD,1,
77-98,12.90,CAD,1,
97-77,13.10,CAD,1,
77-97,13.10,CAD,1,
96-77,12.25,CAD,1,
77-96,12.25,CAD,1,
95-77,11.65,CAD,1,
77-95,11.65,CAD,1,
94-77,11.05,CAD,1,
77-94,11.05,CAD,1,
93-77,9.75,CAD,1,
77-93,9.75,CAD,1,
92-77,9.05,CAD,1,
77-92,9.05,CAD,1,
91-77,7.75,CAD,1,
77-91,7.75,CAD,1,
90-77,7.35,CAD,1,
77-90,7.35,CAD,1,
89-77,7.20,CAD,1,
77-89,7.20,CAD,1,
88-77,12.05,CAD,1,
77-88,12.05,CAD,1,
87-77,12.00,CAD,1,
77-87,12.00,CAD,1,
86-77,10.45,CAD,1,
77-86,10.45,CAD,1,
85-77,19.95,CAD,1,
77-85,19.95,CAD,1,
84-77,23.05,CAD,1,
77-84,23.05,CAD,1,
83-77,20.90,CAD,1,
77-83,20.90,CAD,1,
82-77,18.45,CAD,1,
77-82,18.45,CAD,1,
81-77,17.65,CAD,1,
77-81,17.65,CAD,1,
80-77,15.55,CAD,1,
77-80,15.55,CAD,1,
79-77,9.25,CAD,1,
77-79,9.25,CAD,1,
78-77,9.10,CAD,1,
77-78,9.10,CAD,1,
77-77,4.40,CAD,1,
98-76,18.30,CAD,1,
76-98,18.30,CAD,1,
97-76,22.15,CAD,1,
76-97,22.15,CAD,1,
96-76,21.25,CAD,1,
76-96,21.25,CAD,1,
95-76,20.70,CAD,1,
76-95,20.70,CAD,1,
94-76,20.15,CAD,1,
76-94,20.15,CAD,1,
